,year,continent,co2,co2_per_capita,co2_global_share
20779,1932,South America,28.96,0.37799999999999995,0.92
20780,1933,South America,32.899,0.42200000000000004,0.99
20781,1934,South America,37.257,0.469,1.03
20782,1935,South America,41.081,0.508,1.08
20783,1936,South America,39.597,0.48100000000000004,0.95
20784,1937,South America,50.162,0.598,1.12
20785,1938,South America,46.273,0.542,1.1
20786,1939,South America,47.06,0.541,1.06
20787,1940,South America,50.717,0.5710000000000001,1.05
20788,1941,South America,50.753,0.56,1.02
20789,1942,South America,48.166000000000004,0.52,0.98
20790,1943,South America,48.57,0.512,0.97
20791,1944,South America,53.86600000000001,0.555,1.06
20792,1945,South America,54.137,0.545,1.28
20793,1946,South America,118.77600000000001,1.169,2.56
20794,1947,South America,62.107,0.598,1.21
20795,1948,South America,69.50399999999999,0.654,1.29
20796,1949,South America,70.825,0.65,1.35
20797,1950,South America,112.57700000000001,0.99,1.88
20798,1951,South America,131.287,1.124,2.06
20799,1952,South America,141.474,1.179,2.19
20800,1953,South America,140.643,1.14,2.12
20801,1954,South America,151.056,1.192,2.22
20802,1955,South America,170.08,1.307,2.29
20803,1956,South America,184.18200000000002,1.3780000000000001,2.32
20804,1957,South America,192.918,1.406,2.36
20805,1958,South America,178.755,1.268,2.12
20806,1959,South America,196.99599999999998,1.361,2.22
20807,1960,South America,199.16299999999998,1.34,2.12
20808,1961,South America,201.79,1.321,2.14
20809,1962,South America,215.67,1.375,2.21
20810,1963,South America,219.433,1.3619999999999999,2.14
20811,1964,South America,230.217,1.391,2.13
20812,1965,South America,240.18,1.4140000000000001,2.12
20813,1966,South America,252.09799999999998,1.4469999999999998,2.12
20814,1967,South America,267.478,1.4969999999999999,2.18
20815,1968,South America,287.79400000000004,1.5719999999999998,2.23
20816,1969,South America,311.44599999999997,1.66,2.26
20817,1970,South America,338.089,1.76,2.27
20818,1971,South America,346.784,1.764,2.24
20819,1972,South America,362.788,1.804,2.24
20820,1973,South America,392.89099999999996,1.91,2.3
20821,1974,South America,416.699,1.9809999999999999,2.45
20822,1975,South America,412.131,1.916,2.42
20823,1976,South America,419.56800000000004,1.9069999999999998,2.33
20824,1977,South America,435.041,1.9340000000000002,2.35
20825,1978,South America,461.426,2.006,2.42
20826,1979,South America,494.425,2.102,2.52
20827,1980,South America,508.467,2.114,2.61
20828,1981,South America,489.334,1.99,2.57
20829,1982,South America,490.651,1.952,2.6
20830,1983,South America,485.838,1.891,2.56
20831,1984,South America,491.92699999999996,1.875,2.5
20832,1985,South America,502.05400000000003,1.874,2.47
20833,1986,South America,530.17,1.939,2.57
20834,1987,South America,557.53,1.9980000000000002,2.62
20835,1988,South America,580.554,2.041,2.63
20836,1989,South America,580.184,2.001,2.59
20837,1990,South America,595.614,2.016,2.62
20838,1991,South America,603.004,2.005,2.59
20839,1992,South America,615.0509999999999,2.009,2.73
20840,1993,South America,650.401,2.0869999999999997,2.85
20841,1994,South America,667.658,2.106,2.91
20842,1995,South America,699.1560000000001,2.169,2.98
20843,1996,South America,725.574,2.215,3.0
20844,1997,South America,768.8489999999999,2.309,3.16
20845,1998,South America,821.329,2.4290000000000003,3.39
20846,1999,South America,839.543,2.445,3.42
20847,2000,South America,821.39,2.358,3.26
20848,2001,South America,832.2460000000001,2.355,3.27
20849,2002,South America,847.148,2.366,3.25
20850,2003,South America,858.232,2.366,3.14
20851,2004,South America,867.7589999999999,2.362,3.03
20852,2005,South America,902.003,2.426,3.05
20853,2006,South America,912.73,2.427,2.98
20854,2007,South America,940.7489999999999,2.474,2.99
20855,2008,South America,1007.52,2.6210000000000004,3.14
20856,2009,South America,991.952,2.553,3.14
20857,2010,South America,1082.415,2.758,3.25
20858,2011,South America,1103.963,2.784,3.2
20859,2012,South America,1159.7,2.895,3.32
20860,2013,South America,1218.74,3.012,3.45
20861,2014,South America,1230.511,3.012,3.46
20862,2015,South America,1204.961,2.9219999999999997,3.39
20863,2016,South America,1164.8980000000001,2.799,3.29
20864,2017,South America,1156.734,2.755,3.22
20865,2018,South America,1091.45,2.577,2.98
20866,2019,South America,1065.51,2.494,2.9
20867,2020,South America,994.16,2.3080000000000003,2.86
